,title,link,image,author,discount,publisher,pubdate,isbn,description
0,전자공시 모르면 주식투자 절대로 하지마라 (전자공시생 범송공자의),https://search.shopping.naver.com/book/catalog/48996324626,https://shopping-phinf.pstatic.net/main_4899632/48996324626.20240709084304.jpg,장우진,22500,베가북스,20240718,9791192488806,"전자공시를 어떻게 주식투자에 활용할 수 있을까?
가치투자자라면 반드시 알아야만 하는 기업 분석의 핵심!

처음 투자에 입문하면 모든 게 막막하다. 투자 방식, 기업 분석, 경제 용어 등 익숙한 게 하나도 없다. 특히 전자공시에 올라오는 기업 정보를 보면 더 그렇다. 전자공시시스템 다트에는 매일같이 수백 개의 공시가 쏟아진다. 이 공시 내용을 훑어보면 어떻게 해석하고 어디서부터 활용해야 할지 정말 막막하다. 하지만 모든 투자 전문가가 일관되게 주장하는 바가 있다. “공시는 주식투자를 하는 사람이라면 반드시 넘어야 할 산이다.” 이런 전자공시를 지난 3년간 우직하게 분석한 사람이 있다. 바로 범송공자 장우진이다.

그는 주식투자를 고려대학교 가치투자연구회 RISK에서 접했고 우여곡절 끝에 증권사의 애널리스트가 되었다. 그 파란만장한 경험을 바탕으로 2021년부터 네이버블로그 ‘전자공시생’을 시작했다. 그리고 오늘날까지 주요 전자공시를 분석하여 블로그에 게시하고 있다. 그 결과 누적 방문자 200만 명, 블로그 이웃 2만 명을 상회하는 명실상부 이 분야의 파워블로거가 되었다. 그런 그의 모든 공시 노하우를 한 권으로 집약한 책, 『전자공시 모르면 주식투자 절대로 하지마라』가 출간되었다. 전자공시를 전혀 모르는 투자자, 전자공시를 짐작만 하는 투자자, 전자공시를 기업 분석에 활용하는 투자자까지 모든 투자자가 반드시 읽어야만 하는 내용들로 구성했다.

전자공시로 투자자가 해야 하는 작업은 무엇인가. 정말 간단히 요약하면 바로 기업 분석이다. 기업 분석을 해야 어떤 기업이 앞으로 성장하고, 지금 저평가되어 있는지를 파악할 수 있다. 가치투자자는 이런 성장하는 기업, 저평가된 기업에 투자해야 수익을 실현할 수 있다. 하지만 공시에 올라오는 정보들은 투자자에게 전연 친절하지 않다. 오히려 투자자들이 제대로 알아보기 힘들도록 꽁꽁 숨겨놓고 있다는 표현이 어울린다. 수백 개의 공시 속에 숨은 보물을 가리키는 지도. 그게 바로 이 책의 핵심 내용이다.

가치투자자가 매력적으로 느낄 수밖에 없는 기업들은 어떻게 찾아야 하는가? 답은 『전자공시 모르면 주식투자 절대로 하지마라』 안에 있다. 전자공시생이 우직하게 정리한 이 책이 1,400만 개인투자자들의 길잡이가 되길 기대한다."
1,불변의 법칙 (절대 변하지 않는 것들에 대한 23가지 이야기),https://search.shopping.naver.com/book/catalog/45809842631,https://shopping-phinf.pstatic.net/main_4580984/45809842631.20240216070942.jpg,모건 하우절,22500,서삼독,20240228,9791198517425,"세계적인 베스트셀러 《돈의 심리학》의 저자 모건 하우절이 3년 만에 세상에 내놓은 신작.‘절대 변하지 않는 것들에 대한 23가지 이야기’를 전한다. 출간하자마자 아마존과 뉴욕타임스 베스트셀러 자리에 오르며 아마존 독자들과 오피니언 리더들의 극찬을 받았다. 
이번 책은 돈과 투자 영역은 물론이고, 인간의 본성과 세상의 이치에 관한 이야기를 두루 다루어 한층 더 다층적이고 복합적인 메시지를 담아냈다는 평가를 받는다. 모건 하우절은 사람들은 무엇이 변할 것인지에 대해 늘 관심을 갖지만, 미래에 대비하기 위해서는 오히려 과거에도 지금도 미래에도 변함이 없는‘불변의 법칙’에 대해 알아야 한다고 강조한다. 이에 1000년 후에도 유효할 인간의 행동양식과 반복패턴에 대한 흥미로운 역사 스토리와 일화들을 들려준다. 워런 버핏의 스니커즈, 빌 게이츠의 숨겨진 불안, 유발 하라리가 받은 뜻밖의 비난, 게임스탑 사태의 보이지 않는 변수, 벌지 전투의 최후, 마술사 후디니의 죽음 등, 한 편 한 편의 이야기가 마치 다큐소설처럼 펼쳐진다. 흥미로운 일화 속에 인간사를 꿰뚫는 통찰과 삶의 교훈을 구슬처럼 꿰어내어 “역시 모건 하우절이다”라는 찬사를 받았다. 스콧 갤러웨이, 라이온 홀리데이는 물론, 국내 유수의 리더들 또한 먼저 읽고 “대단한 책이다”라는 평가를 내놓았다."
2,돈의 심리학 (당신은 왜 부자가 되지 못했는가(보너스 스토리 수록)),https://search.shopping.naver.com/book/catalog/32467012122,https://shopping-phinf.pstatic.net/main_3246701/32467012122.20230919135352.jpg,모건 하우절,16830,인플루엔셜,20231106,9791191056372,"국내외 투자자들이 앞다퉈 추천하는 현대판 고전 《돈의 심리학》 
30만 부 기념판 출간 기념 보너스 스토리 수록!

월스트리트저널에서 10년 넘게 금융과 투자에 대한 글을 써온 칼럼니스트이자 콜라보레이티브 펀드 파트너로 활동중인 모건 하우절의 첫 책이다. 출간 즉시 아마존 투자 분야 1위를 차지했고 개인 투자자부터 전문 컨설턴트까지 극찬 세례를 받으며 명실상부 ‘2020 아마존 최고의 금융도서’로 평가받는다.
《돈의 심리학》은 총 20개 스토리로 구성되어 있다. ‘스토리텔링의 천재’ ‘소설가의 기술을 가진 금융 작가’라는 별명답게 모건 하우절이 들려주는 20개의 투자 스토리는 대단히 매력적이다. 하나하나 실화와 실증에 바탕을 두되 이야기의 재미와 투자의 교훈을 빠짐없이 담아냈다. 
제2차 세계대전 당시 독일의 탱크 부대 이야기, 마이크로소프트 창업에 관한 빌 게이츠의 고백, LA에서 주차 대행 아르바이트를 하던 시절 페라리에 얽힌 에피소드, 워런 버핏의 놀라운 수익률의 비밀까지 다양한 이야기를 흥미롭게 전개하여 읽는 이들을 단번에 사로잡는다. 또한 그 끝에는 하나같이 감탄을 부르는 탁월한 통찰을 담고 있다. 부에 관한 문제는 결국 학력, 지능, 노력과 직접적 관련이 없으며 돈에 관한 인간의 편향, 심리, 다시 말해 ‘돈의 심리학’과 밀접한 관련이 있음을 깨닫게 한다. 
국내에서 30만 부 판매 돌파를 기념하여 출간하는 ‘스페셜 에디션’에는 모건 하우절이 새롭게 쓴 ‘보너스 스토리’가 수록된다. 책이 출간된 지 2년이 지난 시점에서 그가 새롭게 깨달은 ‘부의 비밀’에 대해 이야기한다. 세상이 아무리 바뀌어도 모건 하우절이 제시하는 ‘돈의 심리학’의 힘은 여전하다. 그것이 국내외 투자전문가들이 이 책을 ‘투자서의 현대판 고전’으로 앞다퉈 추천하는 이유이다. 
 결국 학력, 지능, 노력과 직접적 관련이 없으며 돈에 관한 인간의 편향, 심리, 다시 말해 ‘돈의 심리학’과 밀접한 관련이 있음을 깨닫게 한다."
3,원칙으로 수익 내는 단타의 기술 (상위 1% 주식 트레이더가 지킨 단 하나의 투자 비법),https://search.shopping.naver.com/book/catalog/47769784620,https://shopping-phinf.pstatic.net/main_4776978/47769784620.20240518075706.jpg,원정연(만쥬),19800,길벗,20240531,9791140710027,"실전투자대회 수익률 2020년 100리그 1,1870%, 2022년 3천리그 396%, 2023년 1억리그 438%… 
전설의 대학생 트레이더 만쥬의 투자 비법!

⦁2020년 화려하게 등장했던 단타 천재, 그가 대학생 전업 투자자가 되기까지의 투자 성장 스토리 공개
⦁엄청난 수익률이라는 결과를 낼 수 있었던 매매법, 매매 관점, 심법, 시황 읽기 등 그만의 단타 필승 전략
⦁하지 말아야 할 것만 안 해도 수익 낼 수 있다! 단타매매 기준과 원칙으로 투자 승률 높이는 법"
4,밸류에이션을 알면 10배 주식이 보인다 (배터리 아저씨의 주식 투자 성공 제1원칙),https://search.shopping.naver.com/book/catalog/47724618631,https://shopping-phinf.pstatic.net/main_4772461/47724618631.20240516071133.jpg,박순혁,18000,한국경제신문,20240531,9788947549561,"개미들의 멘토, 배터리 아저씨 신간 
10배, 100배 주식을 찾는 투자 전략부터
이차전지주에 물린 이들을 위한 대응 방법까지!

배터리 아저씨의 핵심 비결은 
밸류에이션 투자였다!

배터리 시장의 주도권을 한국 배터리 산업이 가져온다는 도발적인 메시지와 함께 배터리 산업에 통찰력을 보여준 이가 있다. 바로 ‘배터리 아저씨’라 불리는 박순혁 작가다. 
그는 이차전지 산업이 주목받지 못할 때부터 자신만의 밸류에이션 방법을 통해 이차전지주에 투자했고, 그 결과는 한국 증시를 뒤흔들었다. 에코프로를 비롯해 저자가 추천한 8개 종목은 상승세를 탔고, 주식 계좌까지 직접 공개하며 말로만 하는 투자가 아님을 증명했다. 그 외에도 방송에서 여러 차례 추천한 삼양식품 역시 2024년 5월, 7거래일 연속 상승, 시가총액 4조 원 돌파라는 기록을 세우며 투자자들에게 큰 이익을 주었다. 배터리 아저씨는 어떻게 이런 결과를 예측할 수 있었을까.

저자는 자신의 투자 노하우가 밸류에이션이라 말한다. 밸류에이션은 기업의 가치를 제대로 이해하기 위한 방법으로 투자의 기본이자 핵심이다. 그러나 최근 시장에서는 주도주를 향한 맹목적 추종 투자, 밈 주식 열풍, 특정 산업의 버블로 인한 투기 과열 등으로 밸류에이션을 가볍게 여기는 경향이 강해지고 있다. 밸류에이션을 통해 기업을 제대로 분석하고, 좋은 기업을 저렴한 가격에 담는다면 하락장에서도 살아남을 수 있으며, 변동성에 쉽게 흔들리지 않는다는 기본적인 사실을 잊는 것이다. 

저자는 침체와 호황을 반복하는 시장의 움직임을 30년 동안 면밀히 분석해왔다. 많은 투자자가 시장의 변수에 휘둘리지 않고, 어떻게 대응해야 하는지 알고 투자하길 바라는 마음으로 이 책 《밸류에이션을 알면 10배 주식이 보인다》를 출간하였다. 혼란스러운 시장에서 잃지 않는 주식 투자를 하고 싶다면 반드시 봐야 할 책이다."
5,테슬라 폭발적 성장 시나리오 (AI·로봇·에너지 다 가진 유일한 기업),https://search.shopping.naver.com/book/catalog/47612375623,https://shopping-phinf.pstatic.net/main_4761237/47612375623.20240511070943.jpg,강정수^김이라^이현정,17820,더스퀘어,20240604,9791198579942,"주가도 CEO도 항상 논란과 이슈의 중심인 테슬라.
하지만 테슬라를 대체할 수 있는 기업을 과연 떠올릴 수 있는가?!
세상에서 가장 혁신적인 기업, 테슬라 대반등 시나리오!

-‘FSD’와 ‘로봇’이 이끄는 AI 기업으로서의 테슬라 빅 픽처 
-자동차를 능가하는 엄청난 기대 사업 ‘에너지’ 분석
-테슬라의 유일한 경쟁자, 맹공을 펼치는 중국 ‘BYD’의 전략

일론 머스크는 테슬라에게 2024년은 이른바 ‘도약을 위한 중간 휴지기(gap year)’라고 이미 경고한 바 있다. 그렇다면, 본격적인 제2의 성장은 언제 어떤 모습으로 펼쳐질까? 이 책은 그 청사진을 엿볼 수 있는 최근 24년 4월의 테슬라 실적 발표와 콘퍼런스 콜의 함의를 낱낱이 분석했다. 
주가의 단기적인 움직임은 투자자의 심리에 영향을 받지만, 장기적으로는 결국 해당 기업의 펀더멘털에 영향을 받는다. 전설적인 투자자 벤저민 그레이엄의 말이다. 테슬라 기업의 진짜 가치와 펀더멘털에 대한 제대로 된 분석 없이는 테슬라 주식에 투자해서는 안 된다.
물론 실적이라는 숫자는 중요하다. 그러나 현재 매출과 전기차 판매 수보다 중요한 것이 있다. 그것은 테슬라가 현재의 낮은 실적을 해결해 가는 방식이다. 그 방식과 전략, 그리고 글로벌 시장의 판도와 변화를 책에서 함께 확인해보자."
6,미국주식 투자 첫걸음 (미국회계사가 쉽게 설명해주는),https://search.shopping.naver.com/book/catalog/48595030623,https://shopping-phinf.pstatic.net/main_4859503/48595030623.20240622091041.jpg,한명호,23850,동양북스,20240705,9791172100544,"미국주식 투자에 필요한 주제별 개념부터 배운다!
주식투자에서도 기본기를 다지는 것이 먼저다. 주식투자의 기본기는 핵심 개념들에 대한 지식이다. 기업의 언어라고 할 수 있는 재무제표부터 금리, 환율, 경기 사이클까지 핵심 개념들을 명확하게 알고 있어야 하고, 각각의 변화가 기업 주가와 어떻게 연동되는지도 파악할 수 있어야 한다. 이 책은 미국주식 투자의 기본을 4단계로 나누어 알기 쉽게 설명하고 누구든 바로 투자를 실행할 수 있도록 친절하게 안내한다.

주식의 본질을 알고 건강한 투자 마인드를 갖기 위한 필수 상식을 익힌다! 
주식투자는 단거리 경주가 아니라 장거리 마라톤이다. 주식시장은 대표적인 장기금융시장으로서 단기금융시장과는 대조되며 주식은 단기금융 시장에서 거래되는 상품보다 금리변동에 따른 가격변동 위험이 크기에 투자 위험 또한 높다. 애초에 주식시장은 단기차익을 얻기 위해 만들어진 시장이 아닌 것이다. 따라서 주식에 투자할 때는 장기투자자로서 건강한 투자 마인드를 가져야 한다. 이를 위해 반드시 알아야 할 주식의 본질과 왜 다른 나라가 아닌 ‘미국주식’에 투자해야 하는지 알아본다.

재무제표를 이용해 어떻게 기업을 평가할지 배운다! 
현명한 주식투자자는 재무제표를 읽는다. 재무제표를 이용한 기업분석 방법, 12개 지표로 충분하다. 이 12개 재무지표를 이용, 기업을 다각도로 분석하는 방법을 테슬라를 예로 들어 자세히 살펴본다. 실제 테슬라의 재무자료를 다운받아 분석해 보고 기업의 주가가 과대평가, 또는 과소평가 되지 않았는지, 기업이 효율적으로 운영되고 있는지, 꾸준히 성장하고 있는 기업인지 제대로 분석하여 투자에 활용하는 법을 배우는 동안 안전하게 많이 버는 투자 필살기를 익힐 수 있다.

분야별 미국주식 분석 사례를 통해 투자 실력을 기른다!  
미국주식 시장을 구성하고 있는 11개 섹터별로 기업을 2곳씩 선정해, 총 22개 기업의 최근 8년간 재무분석 결과 및 주가를 움직인 요소들을 자세히 알아본다. 경기 불황에도 강한 주식(필수소비재, 유틸리티, 헬스케어)과 미래를 위해 주목해야 할 주식(정보기술, 임의소비재, 커뮤니케이션), 가격 변동성이 커 신중히 투자해야 하는 주식(소재, 에너지, 경기가 불황의 터널을 빠져나올 때 사야 할 주식(금융, 산업재, 부동산)의 4개 파트로 나누어 재무제표로 기업들을 꼼꼼하게 분석해 봄으로써 영양가 높은 미국주식 투자 실력을 쌓는다.

필요할 때마다 찾아볼 수 있는 미국주식 기업 분석표를 제공한다!
전설적인 투자자 워런 버핏이 경영하는 버크셔 해서웨이의 사업모델을 살펴보고, 워런 버핏의 투자 기준을 적용해 선별한 기업 154곳의 기업 분석 리스트를 제공한다. 이 154개 기업 중 원하는 섹터에 있는 기업을 골라 분석을 시작해 보는 것이 미국주식 투자에 있어 좋은 출발점이 될 수 있다."
7,cis의 주식 투자 법칙 (주식으로 2300억을 번 일본 단타의 신),https://search.shopping.naver.com/book/catalog/47412193620,https://shopping-phinf.pstatic.net/main_4741219/47412193620.20240502071219.jpg,cis,16650,이레미디어,20240531,9791193394410,"주식으로 2300억을 번 일본 단타의 신
cis의 유일한 책!

대한민국 슈퍼개미: 돈깡, 데이짱, 이정윤 추천!

이 책의 저자인 cis는 BNF와 더불어 일본에서 가장 유명한 투자자 중 한 명으로, 21살에 자본금 3000만 원으로 시작해서 2018년 기준 2300억 원을 모은 사람이다. 즉 지금으로부터 5년 전에 쓰여진 책이니, 현재는 그 금액이 더 불어났을 가능성이 높다. cis는 두 명 중 유일하게 책을 출간한 사람이며, 그마저도 이 한 권뿐이다. 즉 일본의 유명 트레이더의 책이 국내에 최초로 소개되었다고 말할 수 있겠다.
책에는 cis 저자만의 팁이 그의 투자 이야기와 함께 무수히 많이 담겨 있다. 그가 전설적인 트레이더가 되기까지의 여정을 그린 이 책을 읽고, 주식거래를 하는 데 있어서 그의 실전 노하우와 집중해야 할 것과 집중하지 말아야 할 것을 구분하는 지혜를 배울 수 있을 것이다."
8,개미대학 세력의 매집원가 구하기 완결판 (완결판),https://search.shopping.naver.com/book/catalog/48653703633,https://shopping-phinf.pstatic.net/main_4865370/48653703633.20240625085741.jpg,전석,19800,오베이북스,20240625,9791196119508,"개인투자자들 사이에서 주식 교과서로 회자하고 있는 개미대학 주식투자 도서 시리즈의 완결판으로 1권 『개미대학 세력의 매집원가 구하기』와 2권 『주식초보 졸업하고 진짜 수익내자』의 핵심내용을 업그레이드 하였다.

뿐만 아니라 주식투자자들이 정말 알고 싶어 하는 매도의 방법에 대해서 많은 지면을 할애하여 자세히 설명을 하였다. 특히 분봉을 통해 매도하는 법과 급등주를 잡았을 때 보유하는 방법까지 전에 없던 관점으로 논리적으로 설명하였다. 

여기에 손절하는 방법, 세력이 숨어있는 매집봉을 알아보는 법, 20일선 눌림목 매매법 그리고 선취매를 하는 고급 스킬 마지막으로 대시세 초입을 파동과 매집봉으로 알아보는 법을 설명하였다."
9,이동 평균선 투자법 (차트 분석의 시작과 끝은 이동 평균선이다),https://search.shopping.naver.com/book/catalog/46846967627,https://shopping-phinf.pstatic.net/main_4684696/46846967627.20240404093122.jpg,고지로 강사,15300,이레미디어,20240503,9791193394342,"《이동 평균선 투자법》은 이동 평균선으로 ‘에지가 있는 상태’를 찾아내서 투자 수익을 내는 방법이 담긴 책이다. 에지가 있는 상태란 가격이 끊임없이 변동하는 가운데, 사는 것이 유리하거나 파는 것이 유리한 국면을 뜻한다. 줄다리기로 비유하면 어느 한쪽의 태세가 흐트러지는 상황으로, 그렇다고 100 대 0은 아니고 60 대 40 또는 70 대 30의 확률이며, 이러한 확률에 따른 트레이딩을 거듭해 종합적으로 이익을 내는 게 이 책이 말하는 투자법이다.
책은 ‘에지가 있는 상태’를 찾아내는 방법부터 이동 평균선의 아버지라 불리는 그랜빌의 법칙, 단기/중기/장기선 간의 관계와 조합에 따른 흐름 그리고 저자가 찾아낸 단 세 개의 이동 평균선만 활용한 ‘이동 평균선 대순환 분석’까지 일목요연하게 보여 준다. 《이동 평균선 투자법》은 초보 투자자에게 시선이 맞춰져 있지만 단 세 개의 이동 평균선만 활용해서 매매하는 방법과 제5장의 대순환 MACD는 차트 분석에 일가견이 있는 투자자도 흥미롭게 읽을 수 있는 부분이다. 물론 많은 부분은 초보 투자자를 위한 것이며, 그래서 초보 투자자를 위한 조언도 후반부에 실려 있다. 
투자의 세계에는 절대란 없으며, 그렇기에 확률적으로 유리한 국면인 ‘에지가 있는 상태’일 때만 투자하면 최종적으로는 이익을 얻는다는 게 저자의 신념이자 투자 철학이다. 투자를 시작할 때 제일 먼저 읽어 봐야 할 책이지 않을까 싶다. 물론 여러 번 읽으면 더 좋을 것이다."
