,title,link,image,author,discount,publisher,pubdate,isbn,description
0,전자공시 모르면 주식투자 절대로 하지마라 (전자공시생 범송공자의),https://search.shopping.naver.com/book/catalog/48996324626,https://shopping-phinf.pstatic.net/main_4899632/48996324626.20240709084304.jpg,장우진,22500,베가북스,20240718,9791192488806,"전자공시를 어떻게 주식투자에 활용할 수 있을까?
가치투자자라면 반드시 알아야만 하는 기업 분석의 핵심!

처음 투자에 입문하면 모든 게 막막하다. 투자 방식, 기업 분석, 경제 용어 등 익숙한 게 하나도 없다. 특히 전자공시에 올라오는 기업 정보를 보면 더 그렇다. 전자공시시스템 다트에는 매일같이 수백 개의 공시가 쏟아진다. 이 공시 내용을 훑어보면 어떻게 해석하고 어디서부터 활용해야 할지 정말 막막하다. 하지만 모든 투자 전문가가 일관되게 주장하는 바가 있다. “공시는 주식투자를 하는 사람이라면 반드시 넘어야 할 산이다.” 이런 전자공시를 지난 3년간 우직하게 분석한 사람이 있다. 바로 범송공자 장우진이다.

그는 주식투자를 고려대학교 가치투자연구회 RISK에서 접했고 우여곡절 끝에 증권사의 애널리스트가 되었다. 그 파란만장한 경험을 바탕으로 2021년부터 네이버블로그 ‘전자공시생’을 시작했다. 그리고 오늘날까지 주요 전자공시를 분석하여 블로그에 게시하고 있다. 그 결과 누적 방문자 200만 명, 블로그 이웃 2만 명을 상회하는 명실상부 이 분야의 파워블로거가 되었다. 그런 그의 모든 공시 노하우를 한 권으로 집약한 책, 『전자공시 모르면 주식투자 절대로 하지마라』가 출간되었다. 전자공시를 전혀 모르는 투자자, 전자공시를 짐작만 하는 투자자, 전자공시를 기업 분석에 활용하는 투자자까지 모든 투자자가 반드시 읽어야만 하는 내용들로 구성했다.

전자공시로 투자자가 해야 하는 작업은 무엇인가. 정말 간단히 요약하면 바로 기업 분석이다. 기업 분석을 해야 어떤 기업이 앞으로 성장하고, 지금 저평가되어 있는지를 파악할 수 있다. 가치투자자는 이런 성장하는 기업, 저평가된 기업에 투자해야 수익을 실현할 수 있다. 하지만 공시에 올라오는 정보들은 투자자에게 전연 친절하지 않다. 오히려 투자자들이 제대로 알아보기 힘들도록 꽁꽁 숨겨놓고 있다는 표현이 어울린다. 수백 개의 공시 속에 숨은 보물을 가리키는 지도. 그게 바로 이 책의 핵심 내용이다.

가치투자자가 매력적으로 느낄 수밖에 없는 기업들은 어떻게 찾아야 하는가? 답은 『전자공시 모르면 주식투자 절대로 하지마라』 안에 있다. 전자공시생이 우직하게 정리한 이 책이 1,400만 개인투자자들의 길잡이가 되길 기대한다."
1,원칙으로 수익 내는 단타의 기술 (상위 1% 주식 트레이더가 지킨 단 하나의 투자 비법),https://search.shopping.naver.com/book/catalog/47769784620,https://shopping-phinf.pstatic.net/main_4776978/47769784620.20240518075706.jpg,원정연(만쥬),19800,길벗,20240531,9791140710027,"실전투자대회 수익률 2020년 100리그 1,1870%, 2022년 3천리그 396%, 2023년 1억리그 438%… 
전설의 대학생 트레이더 만쥬의 투자 비법!

⦁2020년 화려하게 등장했던 단타 천재, 그가 대학생 전업 투자자가 되기까지의 투자 성장 스토리 공개
⦁엄청난 수익률이라는 결과를 낼 수 있었던 매매법, 매매 관점, 심법, 시황 읽기 등 그만의 단타 필승 전략
⦁하지 말아야 할 것만 안 해도 수익 낼 수 있다! 단타매매 기준과 원칙으로 투자 승률 높이는 법"
2,미국주식 투자 첫걸음 (미국회계사가 쉽게 설명해주는),https://search.shopping.naver.com/book/catalog/48595030623,https://shopping-phinf.pstatic.net/main_4859503/48595030623.20240622091041.jpg,한명호,23850,동양북스,20240705,9791172100544,"미국주식 투자에 필요한 주제별 개념부터 배운다!
주식투자에서도 기본기를 다지는 것이 먼저다. 주식투자의 기본기는 핵심 개념들에 대한 지식이다. 기업의 언어라고 할 수 있는 재무제표부터 금리, 환율, 경기 사이클까지 핵심 개념들을 명확하게 알고 있어야 하고, 각각의 변화가 기업 주가와 어떻게 연동되는지도 파악할 수 있어야 한다. 이 책은 미국주식 투자의 기본을 4단계로 나누어 알기 쉽게 설명하고 누구든 바로 투자를 실행할 수 있도록 친절하게 안내한다.

주식의 본질을 알고 건강한 투자 마인드를 갖기 위한 필수 상식을 익힌다! 
주식투자는 단거리 경주가 아니라 장거리 마라톤이다. 주식시장은 대표적인 장기금융시장으로서 단기금융시장과는 대조되며 주식은 단기금융 시장에서 거래되는 상품보다 금리변동에 따른 가격변동 위험이 크기에 투자 위험 또한 높다. 애초에 주식시장은 단기차익을 얻기 위해 만들어진 시장이 아닌 것이다. 따라서 주식에 투자할 때는 장기투자자로서 건강한 투자 마인드를 가져야 한다. 이를 위해 반드시 알아야 할 주식의 본질과 왜 다른 나라가 아닌 ‘미국주식’에 투자해야 하는지 알아본다.

재무제표를 이용해 어떻게 기업을 평가할지 배운다! 
현명한 주식투자자는 재무제표를 읽는다. 재무제표를 이용한 기업분석 방법, 12개 지표로 충분하다. 이 12개 재무지표를 이용, 기업을 다각도로 분석하는 방법을 테슬라를 예로 들어 자세히 살펴본다. 실제 테슬라의 재무자료를 다운받아 분석해 보고 기업의 주가가 과대평가, 또는 과소평가 되지 않았는지, 기업이 효율적으로 운영되고 있는지, 꾸준히 성장하고 있는 기업인지 제대로 분석하여 투자에 활용하는 법을 배우는 동안 안전하게 많이 버는 투자 필살기를 익힐 수 있다.

분야별 미국주식 분석 사례를 통해 투자 실력을 기른다!  
미국주식 시장을 구성하고 있는 11개 섹터별로 기업을 2곳씩 선정해, 총 22개 기업의 최근 8년간 재무분석 결과 및 주가를 움직인 요소들을 자세히 알아본다. 경기 불황에도 강한 주식(필수소비재, 유틸리티, 헬스케어)과 미래를 위해 주목해야 할 주식(정보기술, 임의소비재, 커뮤니케이션), 가격 변동성이 커 신중히 투자해야 하는 주식(소재, 에너지, 경기가 불황의 터널을 빠져나올 때 사야 할 주식(금융, 산업재, 부동산)의 4개 파트로 나누어 재무제표로 기업들을 꼼꼼하게 분석해 봄으로써 영양가 높은 미국주식 투자 실력을 쌓는다.

필요할 때마다 찾아볼 수 있는 미국주식 기업 분석표를 제공한다!
전설적인 투자자 워런 버핏이 경영하는 버크셔 해서웨이의 사업모델을 살펴보고, 워런 버핏의 투자 기준을 적용해 선별한 기업 154곳의 기업 분석 리스트를 제공한다. 이 154개 기업 중 원하는 섹터에 있는 기업을 골라 분석을 시작해 보는 것이 미국주식 투자에 있어 좋은 출발점이 될 수 있다."
3,개미대학 세력의 매집원가 구하기 완결판 (완결판),https://search.shopping.naver.com/book/catalog/48653703633,https://shopping-phinf.pstatic.net/main_4865370/48653703633.20240625085741.jpg,전석,19800,오베이북스,20240625,9791196119508,"개인투자자들 사이에서 주식 교과서로 회자하고 있는 개미대학 주식투자 도서 시리즈의 완결판으로 1권 『개미대학 세력의 매집원가 구하기』와 2권 『주식초보 졸업하고 진짜 수익내자』의 핵심내용을 업그레이드 하였다.

뿐만 아니라 주식투자자들이 정말 알고 싶어 하는 매도의 방법에 대해서 많은 지면을 할애하여 자세히 설명을 하였다. 특히 분봉을 통해 매도하는 법과 급등주를 잡았을 때 보유하는 방법까지 전에 없던 관점으로 논리적으로 설명하였다. 

여기에 손절하는 방법, 세력이 숨어있는 매집봉을 알아보는 법, 20일선 눌림목 매매법 그리고 선취매를 하는 고급 스킬 마지막으로 대시세 초입을 파동과 매집봉으로 알아보는 법을 설명하였다."
4,"돈, 뜨겁게 사랑하고 차갑게 다루어라",https://search.shopping.naver.com/book/catalog/42733102621,https://shopping-phinf.pstatic.net/main_4273310/42733102621.20231003084529.jpg,앙드레 코스톨라니,10800,미래의창,20230921,9791192519883,"앙드레 코스톨라니 최후의 역작으로 증권 거래와 투자심리에 중요한 변수인 투자의 근본적인 비밀과 기술 등을 안내한 돈 관리 지침서다. 저자는 투자자들에게 21세기 증권시장에 있어서 기회와 위험, 그리고 변화와 상승, 하락에 대한 전망을 보여준다. 

이 책에서 저자는 주식 및 다양한 투자에 대한 자신의 지식을 전달하고자 했다. 아울러 돈에 관한 세계사적인 사건들, 돈과 부를 추구하여 그것을 획득한 사람들 혹은 실패한 사람들, 그리고 무엇보다도 자신의 투자인생을 통한 수많은 경험들을 특유의 유머스러운 필체로 그려내고 있다."
5,이동 평균선 투자법 (차트 분석의 시작과 끝은 이동 평균선이다),https://search.shopping.naver.com/book/catalog/46846967627,https://shopping-phinf.pstatic.net/main_4684696/46846967627.20240404093122.jpg,고지로 강사,15300,이레미디어,20240503,9791193394342,"《이동 평균선 투자법》은 이동 평균선으로 ‘에지가 있는 상태’를 찾아내서 투자 수익을 내는 방법이 담긴 책이다. 에지가 있는 상태란 가격이 끊임없이 변동하는 가운데, 사는 것이 유리하거나 파는 것이 유리한 국면을 뜻한다. 줄다리기로 비유하면 어느 한쪽의 태세가 흐트러지는 상황으로, 그렇다고 100 대 0은 아니고 60 대 40 또는 70 대 30의 확률이며, 이러한 확률에 따른 트레이딩을 거듭해 종합적으로 이익을 내는 게 이 책이 말하는 투자법이다.
책은 ‘에지가 있는 상태’를 찾아내는 방법부터 이동 평균선의 아버지라 불리는 그랜빌의 법칙, 단기/중기/장기선 간의 관계와 조합에 따른 흐름 그리고 저자가 찾아낸 단 세 개의 이동 평균선만 활용한 ‘이동 평균선 대순환 분석’까지 일목요연하게 보여 준다. 《이동 평균선 투자법》은 초보 투자자에게 시선이 맞춰져 있지만 단 세 개의 이동 평균선만 활용해서 매매하는 방법과 제5장의 대순환 MACD는 차트 분석에 일가견이 있는 투자자도 흥미롭게 읽을 수 있는 부분이다. 물론 많은 부분은 초보 투자자를 위한 것이며, 그래서 초보 투자자를 위한 조언도 후반부에 실려 있다. 
투자의 세계에는 절대란 없으며, 그렇기에 확률적으로 유리한 국면인 ‘에지가 있는 상태’일 때만 투자하면 최종적으로는 이익을 얻는다는 게 저자의 신념이자 투자 철학이다. 투자를 시작할 때 제일 먼저 읽어 봐야 할 책이지 않을까 싶다. 물론 여러 번 읽으면 더 좋을 것이다."
6,처음부터 시작하는 주식투자 단타전략 (15만 원으로 10억 만든 실전투자대회 1위 수상자의 필승 트레이딩 공식),https://search.shopping.naver.com/book/catalog/44612310158,https://shopping-phinf.pstatic.net/main_4461231/44612310158.20231213155036.jpg,홍인기,18900,길벗,20231222,9791140707492,"실전투자대회 1위, 대학생 모의투자대회 1위를 차지한 20대 MZ트레이더의 노하우
여의도 제도권 취업보다 전업투자자를 선택하게 만든 안전한 매매 공식

-차근차근 시작해서 억대 연봉 버는 주식 단기매매 필승 전략
 -시장에서 확실히 터득하고 완전히 아는 내용만 담은 실전투자 공략집
 -종목 선정, 수급, 거래원, 호가창의 비밀과 장대양봉 매매법까지 단타의 A to Z
 -단타 투자를 시작하려는 사람에게 가장 알맞은 최고의 안내서 

대학을 갓 졸업한 MZ세대 트레이더는 어떻게 억대 수익을 거두는가?
가장 위험하게 느껴지는 단타 투자를 가장 안전하게 해내는 대왕개미의 필승 전략

“당신이 원하는 삶, 단기매매로 이룰 수 있습니다”

사람들은 단타 투자가 무조건 위험하다고 생각하는 경향이 있다. 반은 맞고 반은 틀리다. 단타를 제대로 배울 수만 있다면 높은 확률로 돈을 벌 수 있다. 그런데 누군가의 매매법을 배운다고 하더라도 그 수준이 매우 높아 따라 하기 힘든 것이 대부분이다. 전자의 경우 단타를 제대로 가르쳐 줄 사람을 만나기 어렵다. 후자의 경우 트레이딩이 어려워 자신의 매매법으로 만들기 힘든 탓에 돈을 금방 잃기 쉽다. 두 가지 모두 시장에 적은 돈이라도 실제 투자하며 몸소 배우고 느껴야 수익을 낼 확률이 높다는 것을 전제로 한다. 다만, 단타 매매에 매력을 느껴 처음 시작해보고자 한다면 《처음부터 시작하는 주식투자 단타전략》이 복잡하게 얽혀 있는 실제의 문제를 해결한다. 이 책의 저자는 ‘확실하게 터득하고 아는 것’만 책에 담았다고 강조한다. 즉, 저자도 돈을 벌지 못하거나, 실제로 그렇게 매매하지 않거나, 본인이 이해하지 못하는 트레이딩 방법은 배제했다는 뜻이다. 단기매매, 단타로 일컫는 매매와 관련하여 철저히 검증하고 잘 아는 내용만 진솔하게 담았다는 의미다. 저자는 단타 매매를 주력으로 하지만, 철저한 리스크 관리자인 탓에 다른 단타 투자자와 상대적으로 안전한 투자를 선호하는 편이다. 그의 나이는 20대 중반이며, 단 한 번의 우연으로 실전투자에 나가 1등 한 것이 아니라 수차례, 여러 대회에서 자신의 실력을 검증했다. 기울기가 심한 하락장과 증시의 오르내림이 반복되었던 2023년 실제 계좌를 책에 실어 비교적 어린 나이에 당당히 억대 수익을 냈음을 인증하였다. 

주식 단기 매매에 관심이 있는 사람이라면 반드시 《처음부터 시작하는 주식투자 단타전략》을 읽어야 한다. 아무런 준비 없이 특정 유튜버가 주장하는 매매법을 무턱대고 따라 하다가 소중한 투자금을 순식간에 시장에 헌납하는 꼴을 당한다. 그렇게 쉽게 돈을 버리고 싶지 않다면, 단타도 차근차근 배워 제대로 써먹어야 비로소 수익이 날 확률이 높아진다. 이 책은 단타를 진짜 배우고자 하는 사람의 눈높이에 맞춰 썼다. 순식간에 자신이 감당하지도 못할 일확천금을 노리는 사람이 있다면 빨리 포기하는 편이 낫다. 이 책은 안전하게, 차곡차곡 수익을 쌓는 단기매매 전략을 습득하고자 하는 사람을 위해 태어났다. 허구나 과장 없이 저자가 시장에서 실제로 겪은 경험을 바탕으로 노하우만 함축했다. 이를 배우고자 하는 사람이 시행착오를 겪더라도 최소한 견뎌내기 힘든 괴로움을 느끼지 않았으면 하는 마음을 담았다. 20대에 억대 트레이더가 된 대왕개미 홍인기 저자는 “이 책의 노하우가 누군가에게는 인생을 바꿀 터닝포인트가 되길 바란다”라고 한다. 《처음부터 시작하는 주식투자 단타전략》은 이 시대의 단타 투자자에게 진솔한 희망을 보낸다."
7,100배 주식 불변의 법칙 (제대로 사서 독하게 버텨라),https://search.shopping.naver.com/book/catalog/48864801621,https://shopping-phinf.pstatic.net/main_4886480/48864801621.20240704072034.jpg,토머스 펠프스,18000,에프엔미디어,20240702,9791188754984,"투자수익은 어떻게 폭발되는가?
아마존 역주행 화제의 책 ‘100배 주식’ 오리지널 
‘바이 앤 홀드’ 전략의 결정판

가치투자 대가이자 워런 버핏의 수제자로 알려진 모니시 파브라이는 이 책을 “인생 최고의 책 중 하나”(2022년 CNBC 인터뷰)로 꼽았다. 복리 머신(compounding machine) 개념을 대중화한 척 아크레는 2011년 버크셔 해서웨이 주주총회 때 열린 가치투자 콘퍼런스에서 이 책을 소개하고 강력 추천했다. 기라성 같은 가치투자자들이 왜 1972년 출간된, ‘100배 주식 운운하는’ 이 책에 열광하는 걸까?

그러나 《100배 주식 불변의 법칙》이 제시하는 투자법은 매우 단순하다. 한마디로 바이 앤 홀드(buy & hold), ‘제대로 사서 독하게 버텨라’라는 것. 이를 위해 좋은 주식 찾는 세 가지 접근법, 100배 오를 주식의 특징과 주목할 분야, 간단 정교한 밸류에이션 지표, 잦은 매매 본능을 이겨낼 심리 처방전 등을 담았다.

이 책은 1972년 출간 후 절판되었다가 21세기 들어 투자 대가들의 추천과 함께 다시 주목받았다. 아마존에서 중고책 값이 100만 원에 거래되는 등 인기를 모으며 2015년 1월 초판본이 공식 복간되었다. 비슷한 시기에 크리스토퍼 메이어는 이 책에서 영감을 받아 쓴 《100배 주식(100 Baggers)》을 독립 출판 형태로 펴냈고, 1장을 이 책 소개와 저자 펠프스 찬사에 할애했다.

국내 투자 전문가들은 “시대를 관통하는 지혜가 담긴 책”이라고 입을 모았다. 김학균 신영증권 리서치센터장은 “원고 완독 후 ‘100배 주식’이라는 표현에 대한 거북함이 사라졌다”며 “투자자에게 미덕이 큰 책”이라고 추천했다. 또 “한때 강세장에 편승한 얕은 책이 아니라 시대를 관통하는 지혜와 영감을 주는 책”(홍진채 라쿤자산운용 대표)이며 “100배라는 문구가 마법이 아닌 사실임을 입증하는 책”(윤지호 LS증권 리테일사업부 대표)이라고 호평했다."
8,나는 ETF로 돈 되는 곳에 투자한다 (시장의 주인공을 찾아 만드는 나만의 ETF포트폴리오),https://search.shopping.naver.com/book/catalog/48502879620,https://shopping-phinf.pstatic.net/main_4850287/48502879620.20240618091423.jpg,김수정,21600,경이로움,20240626,9791192445762,"투자는 'Timing'이 아닌 'Time’이다
장기적으로 꾸준히 ETF에 투자해
경제적으로 안정된 미래를 준비하자!

투자의 목적은 제각각 다르다. 하지만 대부분 그 목적에는 공통점이 있다. 바로 궁극적인 투자의 목적이 경제적으로 안정된 미래를 지향한다는 점이다. 내 아이를 위한 투자라고 해도 결국 '경제적으로 안정되고 풍요로운 아이의 미래 준비'가 목표다. 이 책의 저자는 경제적으로 안정된 미래를 목표로 하는 투자자에게 ETF 투자를 권한다.
ETF 상품 분야에서 최고의 애널리스트로 꼽히는 저자는 경제적으로 안정적인 미래를 준비한다면 각자의 ETF 포트폴리오를 만들어야 한다고 말한다. 그래서 이 책에 매크로 분석법, 산업 전망, 경제 상황에 대한 변화 탐지법 등을 자세히 설명했다. 그리고 각자의 투자 성향과 상황에서 포트폴리오에 어떤 ETF를 어떤 비중으로 담아야 하는지를 설명했다.
즉 이 책은 단순히 ETF 개념만을 담지 않았다. 이미 선진국으로 잘 알려진 미국, 일본뿐만 아니라 신흥국, 미래를 선도할 유망 산업 등 국제 정세, 경제, 산업을 분석하고 예측한 내용을 담았다.
ETF는 21세기 최고의 금융상품임이 이미 증명된 만큼, 이 책으로 나만의 ETF 포트폴리오를 만들어 인생을 설계하기를 바란다."
9,매주 달러 받는 배당주 통장,https://search.shopping.naver.com/book/catalog/46317041619,https://shopping-phinf.pstatic.net/main_4631704/46317041619.20240312095449.jpg,장우석,17820,페이지2북스,20240327,9791169850704,"“1년 52주, 매주 통장에 달러가 쌓이기 시작했다”침체기에는 현금을, 상승기에는 주가 상승을 부르는 최강의 투자법 
* 엔비디아의 급등락을 예측한 화제의 인물, ‘장비디아’ 장우석의 미국 배당 투자 필승 전략
* 213개 기업으로 매주 달러 받는 나만의 포트폴리오를 만들자!

매주 통장에 돈이 쌓이는 것만큼 즐거운 상상도 없을 것이다. 미국 배당주에 투자한다면 누구나 그 상상을 현실로 만들 수 있다. 국내 주식과 달리 미국은 이익을 주주에게 환원하는 비율이 높고, 배당에 대한 인식이 높아 분기별로 배당을 지급하는 기업이 상당수다. 국내 주식과 달리 테마의 영향을 받지 않고, 꾸준하게 수익이 발생해 노후 자금 마련을 위해 안정적인 투자를 찾는 사람들이 최근 미국 배당주에 주목하고 있다. 이 책에서는 미국 배당주를 처음 접하는 투자자들을 위한 기초 상식은 물론, 매주 달러가 입금되는 포트폴리오를 만들기 위한 실전 전략을 제시한다. 그리고 수익 내는 알짜 배당 기업 213개를 장우석 저자의 생생한 코멘트와 함께 소개하여 성공적인 포트폴리오를 만들고, 이후 리밸런싱까지 전 과정을 돕는다. 미국 배당주를 처음 하거나, 하고는 있지만 효과적인 수익을 만들지 못하는 사람들 모두에게 도움이 되는 한 권의 책이다."
