,title,originallink,link,description,pubDate
0,[생생경제] '그림의 떡' 부동산 대책? &quot;계획은 '무성' 공급은 '부족'&quot;,https://radio.ytn.co.kr/program/?f=2&id=97009&s_mcd=0206&s_hcd=15,https://radio.ytn.co.kr/program/?f=2&id=97009&s_mcd=0206&s_hcd=15,이 수치가 그래서 이거는 좀 다시 말하면 <b>금리</b> 인상 같은 그런 부담을 갖고 지금 매입을 했던 사람들이... 이게 <b>금리</b> 같은 것들도 대출 <b>금리</b> 대비해서 시장 <b>금리</b>가 지금 좀 낮게 형성되어 있는 편이긴 하거든요. 그래서... ,"Tue, 23 Jul 2024 12:30:00 +0900"
1,"[생생경제] &quot;기준 <b>금리</b> 연 3회 인하 가능성? 매우 낮아…시장, 기대심리 과해...",https://radio.ytn.co.kr/program/?f=2&id=97008&s_mcd=0206&s_hcd=15,https://radio.ytn.co.kr/program/?f=2&id=97008&s_mcd=0206&s_hcd=15,"◆ 조태현 : 미국 금융시장에서 연준의 기준<b>금리</b> 인하 가능성 9월에 100%를 미리 반영을 하고 있던데, 아무래도 이게 주식시장에 영향을 미칠 수밖에 없겠죠? ◇ 최진호 : 예. 맞습니다. 연준의 기준<b>금리</b> 인하가 굉장히... ","Tue, 23 Jul 2024 12:30:00 +0900"
2,"미래에셋, TIGER ETF 2종 신규 상장",https://www.ezyeconomy.com/news/articleView.html?idxno=200743,https://www.ezyeconomy.com/news/articleView.html?idxno=200743,또 중소형주 비중이 상대적으로 높아 다가올 <b>금리</b> 인하 사이클에 효과적인 투자 전략이다. TIGER 반도체TOP10레버리지 ETF는 국내 최초 반도체 섹터에 투자하는 레버리지 ETF다. 국내 대표 최대 반도체 ETF인 TIGER... ,"Tue, 23 Jul 2024 12:28:00 +0900"
3,"&quot;사장님, 순위 압박 없다&quot; 한화운용, PLUS ETF로 '질적 승부'",http://www.newsprime.co.kr/news/article.html?no=647547,http://www.newsprime.co.kr/news/article.html?no=647547,"일본의 <b>금리</b> 상승 시 채권이자수익이 추가적인 성과로 이어질 것으로 기대된다&quot;고 말했다. 기술 측면에서는 인공지능(AI)에 가장 주목했다. PLUS글로벌AI인프라는 AI생태계의 정점에 있는 엔비디아에 25%를, AI인프라... ","Tue, 23 Jul 2024 12:24:00 +0900"
4,"웰컴저축은행, '연 최대 10%' 웰컴 디지로카 100일 적금 출시",http://www.newsian.co.kr/news/articleView.html?idxno=71491,http://www.newsian.co.kr/news/articleView.html?idxno=71491,웰컴 디지로카 100일적금은 롯데카드의 어플리케이션 디지로카 내 오픈뱅킹을 통해 적금을 적립할 때 마다 우대<b>금리</b>가 적용돼 최대 연10%(세전)의 <b>금리</b>혜택을 누릴 수 있는 적금 상품이다. 가입기간은 100일이며... ,"Tue, 23 Jul 2024 12:20:00 +0900"
5,"고흥군, 청년리더 아카데미 '청년 금융교육' 호응",http://www.newsworker.co.kr/news/articleView.html?idxno=340860,http://www.newsworker.co.kr/news/articleView.html?idxno=340860,"청년 실전형 금융교육은 지역에서 경제활동을 하는 청년들을 대상으로 합리적인 소비, <b>금리</b> 비교법과 은행 업무 노하우, 목돈의 필요성, 가장 빠르게 목돈 모으는 방법, <b>금리</b>·각종 대출·금융 상식·정책자금 등 청년들의... ","Tue, 23 Jul 2024 12:20:00 +0900"
6,[중국 뉴스 브리핑] 2024년 7월 23일,http://kr.people.com.cn/n3/2024/0723/c203201-20196682.html,http://kr.people.com.cn/n3/2024/0723/c203201-20196682.html,22일 신규 대출우대<b>금리</b>(LPR)가 발표된 가운데 1년 만기와 5년 만기 LPR 모두 10포인트 하락했다. ?育部消息，2023年全??育???投入?64595?元，比上年增?5.3%。 교육부 소식에 따르면 2023년 중국 교육 경비는 6조 4595억... ,"Tue, 23 Jul 2024 12:18:00 +0900"
7,"집 살 수 있는 소득, LA서 2배 뛰었다",https://news.koreadaily.com/2024/07/22/economy/economygeneral/20240722201724326.html,https://news.koreadaily.com/2024/07/22/economy/economygeneral/20240722201724326.html,LA-롱비치-애너하임 지역은 높은 모기지 <b>금리</b>와 주택 가격 상승으로 중간 가격의 주택 구입에 필요한 소득과 중간 가구 소득 격차가 가장 큰 대표적인 곳이다. 실제 소득과 중간 가격 주택 구입에 필요한 소득 사이의... ,"Tue, 23 Jul 2024 12:18:00 +0900"
8,"&quot;이번주 美 골디락스 데이터, 민주당에 호재…달러 변동성 제한&quot;",https://news.einfomax.co.kr/news/articleView.html?idxno=4318195,https://news.einfomax.co.kr/news/articleView.html?idxno=4318195,"미국 경제가 침체 없이 인플레이션을 잡게 되면, 연방준비제도(Fed·연준)의 <b>금리</b>인하에도 달러 약세가 부각되진 않을 것으로 분석됐다. ING는 &quot;<b>금리</b>와 관련해서 보면 중국이 이미 <b>금리</b>를 인하했고, 이러한 부양 기조에... ","Tue, 23 Jul 2024 12:18:00 +0900"
9,"해리스, 유력 대선 후보로 떠오르자…미국·유럽 주식 상승세 마감",https://www.newsis.com/view/NISX20240723_0002821824,https://n.news.naver.com/mnews/article/003/0012683029?sid=104,경제가 살아날 것이라는 기대가 클수록 낮아지는 미 10년 만기 국채 수익률(<b>금리</b>)도 이날 42bp(1bp=0.01%) 떨어진 연 4.243%를 기록했다. 통상적으로 <b>금리</b> 예측에 따라 움직이는 2년 만기 국채 수익률(<b>금리</b>)도 23bp(1bp=0.01... ,"Tue, 23 Jul 2024 12:16:00 +0900"
0,'엔저 기조 끝날까'…기나긴 하락 끝에 엔-원 환율 반등,https://news.einfomax.co.kr/news/articleView.html?idxno=4318194,https://news.einfomax.co.kr/news/articleView.html?idxno=4318194,글로벌 위험 회피심리와 일본은행의 <b>금리</b>인상 기대로 엔화 매수가 부각되면서 엔-원 재정환율은 100엔당... (BOJ)에 <b>금리</b> 인상을 요구할 것이라고 말한 것으로 전해졌다. 엔화는 소폭 강세로 기울었다. 일본 외환당국의... ,"Tue, 23 Jul 2024 12:10:00 +0900"
1,음성지역 미분양관리지역 해제 '청신호',http://www.jbnews.com/news/articleView.html?idxno=1445144,http://www.jbnews.com/news/articleView.html?idxno=1445144,"한국은행이 6월 25일 발표한 '소비자동향조사' 결과에 따르면, 6개월 후 <b>금리</b> 전망인 <b>금리</b>수준전망지수는 6p 내린 98을 기록했고 주택가격전망지수는 전월 대비 7p 오른 108로 나타나 1년 후 집값 하락보다 상승을... ","Tue, 23 Jul 2024 12:08:00 +0900"
2,청년 학자금대출 연체정보 등록 유예 3년으로 확대,https://www.newsis.com/view/NISX20240723_0002822002,https://n.news.naver.com/mnews/article/003/0012682970?sid=101,"성실경영 심층평가는 재창업자의 폐업 방지노력, 재기준비도 등을 평가해 통과자에 <b>금리</b>우대 등을 지원하는 제도이다. 2023년 이후 성실경영 심층평가를 통과한 재창업자는 중진공과 신용정보원 사이를 연계하는 전산... ","Tue, 23 Jul 2024 12:05:00 +0900"
3,이더리움 판매 압박 가능성 및 마운트곡스(Mt. Gox)의 소액 비트코인 전송 등...,https://www.tokenpost.kr/article-188277,https://www.tokenpost.kr/article-188277,"5월에 회사는 일본의 높은 정부 부채 수준, 장기적인 실질 <b>금리</b> 마이너스 및 엔화 약세에 대응하기 위해 비트코인을 전략적 재무 준비 자산으로 채택하기 시작했다고 발표했다. OKX, 비트코인 가격 예측 게임... ","Tue, 23 Jul 2024 12:02:00 +0900"
4,"트럼프 VS 해리스 ‘접전’…환율, 장중 1380원 초반대로 하락[외환분석]",http://www.edaily.co.kr/news/newspath.asp?newsid=02371446638957472,https://n.news.naver.com/mnews/article/018/0005795766?sid=101,"전날 중국 인민은행 <b>금리</b>인하로 인한 위안화 약세도 누그러졌다. 달러·위안 환율은 7.28위안대, 달러·엔 환율은 156엔대로 모두 하락세(강세)를 나타내고 있다. 간밤 기술주를 중심으로 뉴욕 증시가 상승한 영향에... ","Tue, 23 Jul 2024 12:00:00 +0900"
5,"&quot;올해 외국인 자금 27조 유입, '바이코리아' 지속 기대&quot;",https://www.nocutnews.co.kr/news/6182852?utm_source=naver&utm_medium=article&utm_campaign=20240723115841,https://n.news.naver.com/mnews/article/079/0003919373?sid=102,시장은 9월 <b>금리</b> 인하 가능성을 사실화한듯하며 연내 3회 인하론이 부상하는 반응을 보였는데요. 미국의 높아지는 9월 기준<b>금리</b> 인하 기대감에 시장 상황은 어떻습니까? ◆조명은&gt; 대담에서 파월 의장이 물가 상승률... ,"Tue, 23 Jul 2024 11:58:00 +0900"
