,title,originallink,link,description,pubDate
0,[IPO인터뷰] 뱅크웨어글로벌 “국내 유일 코어뱅킹 SW社…클라우드 시대 글로...,https://news.heraldcorp.com/view.php?ud=20240725050080,https://n.news.naver.com/mnews/article/016/0002340376?sid=101,"현재까지 아시아 지역 7개국에서 100여개 은행, 금융 공공기관, <b>핀테크</b>사 등에 SW를 공급, 매일 2억5000만건의 금융거래를 처리 중이다. 지난 2021년에는 영국 금융 IT정보 서비스업체 IBS 인텔리전스가 선정한 글로벌... ","Thu, 25 Jul 2024 08:27:00 +0900"
1,"[N2 모닝 경제 브리핑-7월 25일] 美 증시, 빅테크 실적 실망속 폭락…테슬라 ...",https://www.news2day.co.kr/article/20240724500212,https://www.news2day.co.kr/article/20240724500212,"(10시) - '코리아 <b>핀테크</b> 위크 2024' 8월 27일부터 개최(12시) - 회계법인 품질관리 감리 결과에 따른 개선 권고사항 공개(12시) - 이복현 금융감독원장, 국회 정무위원회 업무보고(10시) [한국은행] - 2024년 7월... ","Thu, 25 Jul 2024 07:18:00 +0900"
2,[오늘 기재부 등 경제부처 일정],https://news.einfomax.co.kr/news/articleView.html?idxno=4318452,https://news.einfomax.co.kr/news/articleView.html?idxno=4318452,「코리아 <b>핀테크</b> 위크 2024」 8월 27일부터 개최(26일 조간) ※회계법인 품질관리 감리 결과에 따른 개선 권고사항 공개(26일 조간) [금융감독원] ▲10:00 원장 정무위원회 업무보고(국회) ※'24년 제7회「찾아가는... ,"Thu, 25 Jul 2024 07:06:00 +0900"
3,[S리포트] 음식점은 풀렸는데… 대기업 빵집은 여전히 '울상',https://www.moneys.co.kr/article/2024072409570445383,https://n.news.naver.com/mnews/article/417/0001016565?sid=101,<b>핀테크</b> 기업 핀다의 빅데이터 상권분석 플랫폼 '오픈업'에 따르면 지난해 전국 평균 외식업 폐업률은 21.5%다. 반면 공정위 가맹사업정보를 살펴보면 제과업 프랜차이즈 폐업률은 2~5%대에 불과하다. 평균 수명은 10년... ,"Thu, 25 Jul 2024 06:25:00 +0900"
4,메트로신문 7월25일자 한줄뉴스,http://www.metroseoul.co.kr/article/20240724500547,http://www.metroseoul.co.kr/article/20240724500547,▲광동제약이 디지털 금융 기술이 결합하고 있는 유통 시장의 변화에 적극 대응하고 있다. 광동제약은 금융IT·<b>핀테크</b>기업 핑거와 자사 제품에 투자할 수 있는 '전자증권 발행 공동사업' 계약을 체결했다고 24일 밝혔다.,"Thu, 25 Jul 2024 06:02:00 +0900"
5,[단독] 암호화폐 전용 ATM 국내 첫 상륙...비트코인도 바로 현금화,https://www.etnews.com/20240724000226,https://n.news.naver.com/mnews/article/030/0003226381?sid=101,블록체인 <b>핀테크</b> 플랫폼 다윈KS는 명동 남대문로 환전사업장에 암호화폐 ATM을 설치했다. ATM을 이용하면 비트코인·이더리움·테더 등 3종 암호화폐를 원화로 바꿀 수 있다. 그 반대도 가능하다. 최대 환전 범위는... ,"Thu, 25 Jul 2024 06:01:00 +0900"
6,한국 보험사 최초 해외은행 인수…아군 확보 '든든',http://news.mt.co.kr/mtview.php?no=2024072314171665007,https://n.news.naver.com/mnews/article/008/0005068423?sid=101,이제는 넓어진 영토에서 <b>핀테크</b> 기술 등을 앞세워 '디지털 금융 DNA'를 심고 있다. 국경을 넘어 미래로 향하는 K금융의 전략을 취재했다. 한화생명의 인도네시아 현지 은행 지분 인수는 여러 가지 면에서 의미가 크다. 국내... ,"Thu, 25 Jul 2024 05:35:00 +0900"
7,"'생·손보+은행' 글로벌 종합금융그룹 시너지, 인니서 터트린다",http://news.mt.co.kr/mtview.php?no=2024072314150823412,https://n.news.naver.com/mnews/article/008/0005068410?sid=101,이제는 넓어진 영토에서 <b>핀테크</b> 기술 등을 앞세워 '디지털 금융 DNA'를 심고 있다. 국경을 넘어 미래로 향하는 K금융의 전략을 취재했다. 한화생명은 활발히 해외시장 문을 두들긴 생명보험사 중 하나다. 특히 최근에... ,"Thu, 25 Jul 2024 05:24:00 +0900"
8,"[광화문]자초한 규제, 멀어진 혁신",http://news.mt.co.kr/mtview.php?no=2024072410464978060,https://n.news.naver.com/mnews/article/008/0005068398?sid=101,검색비용을 줄여주는 <b>핀테크</b>가 설 자리도 사라졌다. 보험업계에서 새 회계기준 IFRS17 혼란이 사그라지지 않고 있다. IFRS17는 보험 회계에서 쓰이는 여러 가정을 보험사별로 자율적으로 판단해서 적용하라는 것이... ,"Thu, 25 Jul 2024 05:07:00 +0900"
9,[오늘의 주요일정]금융·증권(7월25일 목요일),https://www.newsis.com/view/NISX20240724_0002824112,https://n.news.naver.com/mnews/article/003/0012686987?sid=101,"◇주요일정 ▲10:00 금감원장, 정무위원회 업무보고(국회) ◇보도계획 &lt;금융위원회&gt; ▲10:00 '24년 제7회「찾아가는 금융규제 샌드박스」간담회 개최 ▲12:00 「코리아 <b>핀테크</b> 위크 2024」 8월 27일부터 개최... ","Thu, 25 Jul 2024 05:00:00 +0900"
0,[오늘의 주요일정]금융·증권(7월25일 목요일),https://www.newsis.com/view/NISX20240724_0002824112,https://n.news.naver.com/mnews/article/003/0012686987?sid=101,"◇주요일정 ▲10:00 금감원장, 정무위원회 업무보고(국회) ◇보도계획 &lt;금융위원회&gt; ▲10:00 '24년 제7회「찾아가는 금융규제 샌드박스」간담회 개최 ▲12:00 「코리아 <b>핀테크</b> 위크 2024」 8월 27일부터 개최... ","Thu, 25 Jul 2024 05:00:00 +0900"
