,title,originallink,link,description,pubDate
0,"[카드 &amp; NOW] BC카드, 외국인 근로자 데이터 분석 …“나를 위해 저축·소비한...",https://www.ebn.co.kr/news/view/1630530/?sc=Naver,https://www.ebn.co.kr/news/view/1630530/?sc=Naver,"BC카드, 국내 거주 외국인 근로자 데이터 분석 …“나를 위해 저축·소비한다” BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)가 협업해 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터... ","Mon, 22 Jul 2024 17:04:00 +0900"
1,국내 거주 외국인 노동자 해외송금 ‘가족’ 비중 줄었다,http://www.segye.com/newsView/20240722514317?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003953064?sid=101,BC카드는 22일 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(GME)가 함께 국내 거주 외국인 근로자 100만여명의 송금 및 소비 데이터를 분석한 결과 부모∙형제∙배우자 등 가족에 송금하는 비율이 2021년 58%에서 지난해... ,"Mon, 22 Jul 2024 17:02:00 +0900"
2,"<b>핀테크</b> 혁신기업 6개사, 서울시-신한은행·카드·증권 함께 키운다",http://www.efnews.co.kr/news/articleView.html?idxno=113545,http://www.efnews.co.kr/news/articleView.html?idxno=113545,사진=서울시 서울시는 유망 <b>핀테크</b> 기업을 위한 개방형 혁신 프로그램(오픈이노베이션)인 '제3회 피노베이션... (에듀<b>핀테크</b> 서비스)·텔레픽스(위성정보 서비스)는 신한투자증권과 3개월간 협업하며 금융서비스 사업화를... ,"Mon, 22 Jul 2024 16:58:00 +0900"
3,"상명대, 미래 신기술 첨단분야 신설로 융복합 인재 양성",https://www.newscj.com/news/articleView.html?idxno=3161741,https://www.newscj.com/news/articleView.html?idxno=3161741,"서울캠퍼스 소속 첨단분야 학과는 지능·데이터융합학부로 입학해 전공을 선택할 수 있는 <b>핀테크</b>전공, 빅데이터융합전공, 스마트생산전공과 휴먼지능정보공학전공이 있다. 천안캠퍼스는 디자인대학 AR... ","Mon, 22 Jul 2024 16:56:00 +0900"
4,34대1 경쟁률 뚫은 <b>핀테크</b> 혁신기업 6社 어디,https://www.kukinews.com/article/view/kuk202407220094,https://www.kukinews.com/article/view/kuk202407220094,쿠키뉴스 기자 서울시는 유망 <b>핀테크</b> 기업을 위한 개방형 혁신 프로그램(오픈이노베이션)인 ‘제3회... (에듀<b>핀테크</b> 서비스) △텔레픽스(위성정보 서비스)는 신한투자증권과 3개월간 협업하며 금융서비스 사업화를... ,"Mon, 22 Jul 2024 16:40:00 +0900"
5,이혜민 핀다 대표 &quot;AI 기술 활용한 '포용금융' 실현&quot;,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005294177,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1005294177,▶ 인터뷰 : 이혜민 / 핀다 대표 - &quot;국내 <b>핀테크</b> 사로서는 처음으로 마이크로소프트랑 협업을 해서 GPT를 도입했고요. 자체적으로 '핀다 GPT'를 개발해서 상당히 다양한 분야에 쓰고 있습니다.&quot; 대표적인 예가 CX(Customer... ,"Mon, 22 Jul 2024 16:36:00 +0900"
6,매출채권팩토링으로 중기 자금 유동성에 숨통,http://www.fnnews.com/news/202407221627460114,https://n.news.naver.com/mnews/article/014/0005216913?sid=105,"22일 더존비즈온에 따르면, <b>핀테크</b> 전문 계열사인 테크핀레이팅스가 지난 19일 신한은행, SGI서울보증과 함께 '중소기업 공급망금융 지원 확대를 위한 업무협약'을 체결했다. 테크핀레이팅스 옥형석 대표는 이날 협약식에서... ","Mon, 22 Jul 2024 16:30:00 +0900"
7,"카드업계, '오픈페이' 이어 '공통QR' 출시...고객 반응 '시큰둥' 이유는?",https://news.dealsitetv.com/news/articleView.html?idxno=120062,https://news.dealsitetv.com/news/articleView.html?idxno=120062,국내 결제시장에서 <b>핀테크</b> 및 휴대폰 제조사의 간편결제 서비스가 차지하는 비중이 나날이 커지면서... 인지도·편의성에서 <b>핀테크</b>와 비교했을때 한참 밀리는 데다 일부 카드사가 불참해 통일된 전선도 갖추지 못했기... ,"Mon, 22 Jul 2024 16:30:00 +0900"
8,"레티튜, 'KB스타터스 싱가포르' 최종 선정",http://news.mt.co.kr/mtview.php?no=2024072213175690899,https://n.news.naver.com/mnews/article/008/0005067071?sid=101,"선정된 기업들은 싱가포르 현지의 'KB 글로벌 <b>핀테크</b> 랩'을 통해 업무공간, 육성 프로그램, 네트워크 구축 기회 등을 제공받는다. 또한 현지 VC 연계 투자 지원, KB금융 계열사와의 협업 기회, 현지 기업과의 제휴 지원 등... ","Mon, 22 Jul 2024 16:18:00 +0900"
9,김병환 금융위원장 후보자 답변에 쏠린 눈···민주당과 금투세 격돌 예상 [...,https://www.econovill.com/news/articleView.html?idxno=661152,https://www.econovill.com/news/articleView.html?idxno=661152,「코리아 <b>핀테크</b> 위크 2024」 8월 27일부터 개최(26일 조간) *회계법인 품질관리 감리 결과에 따른 개선 권고사항 공개(26일 조간) 7월26일(금) *10:00 위원장 부위원장 주간업무회의(정부서울청사) ◆금융감독원 7월22일... ,"Mon, 22 Jul 2024 16:06:00 +0900"
0,"태평양, 금융감독원 출신 김효봉 변호사 영입",https://www.lawtimes.co.kr/news/200075,https://www.lawtimes.co.kr/news/200075,"김 변호사는 태평양 TMT(정보기술·방송·통신) 그룹에서 가상자산, <b>핀테크</b>, 자산운용 등 업무를 담당한다. 또 지난 5월 출범한 태평양 미래금융전략센터의 핵심 멤버로서 가상자산 분야의 규제 대응 업무를 수행할... ","Mon, 22 Jul 2024 16:04:00 +0900"
1,"BC카드 &quot;국내 외국인 근로자, 본인 계좌 송금 증가&quot;",http://www.globalepic.co.kr/view.php?ud=20240722101018187162abca1943_29,http://www.globalepic.co.kr/view.php?ud=20240722101018187162abca1943_29,"BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 ‘GME’)가 협업해 국내 거주 외국인 근로자 100만 여명의 송금 및 소비 데이터를 분석한 결과, 부모∙형제∙배우자 등 가족 송금보다 본인 계좌 송금이... ","Mon, 22 Jul 2024 15:58:00 +0900"
2,&quot;출발 좋았지만&quot;…'보험 비교·추천 서비스' 보험사 '이견'에 플랫폼 중계 수...,https://www.thepublic.kr/news/articleView.html?idxno=230353,https://www.thepublic.kr/news/articleView.html?idxno=230353,"취급하는 삼성화재 간 이견으로 3개월이나 늦어졌다. 그리고 이 과정에서 22개 생보사와 18개 손보사, 11개 <b>핀테크</b>사가 지난해 11월 구성한 3자 협의체가 아무 기능도 하지 못했다는 비판이 나오기도 했다. 더퍼블릭","Mon, 22 Jul 2024 15:56:00 +0900"
3,"BC카드 &quot;외국인 근로자, 가족 아닌 본인 위해 돈 쓴다&quot;",https://www.psnews.co.kr/news/articleView.html?idxno=2061541,https://www.psnews.co.kr/news/articleView.html?idxno=2061541,[사진=BC카드] BC카드와 해외송금 전문 <b>핀테크</b>사 글로벌머니익스프레스(이하 'GME')가 협업해 국내 거주 외국인 근로자 100만여 명의 송금 및 소비 데이터 분석결과 부모∙형제∙배우자 등 가족 송금보다 본인 계좌... ,"Mon, 22 Jul 2024 15:53:00 +0900"
