,title,originallink,link,description,pubDate
0,"“고딩 딸부터 60대 아빠까지 다 쓴다”…은행앱 반전의 1위, 어디?",https://www.mk.co.kr/article/11074340,https://n.news.naver.com/mnews/article/009/0005338971?sid=101,"서지용 상명대 경영학부 교수는 “인뱅은 접근성과 금리혜택에서 우위에 있고, 해외 송금 우대 <b>환율</b>, 환전서비스 등 각종 부가 혜택을 무기로 한다”며 “인뱅이 정통 시중은행의 이용객을 흡수하는데 한계는... ","Tue, 23 Jul 2024 10:07:00 +0900"
1,[오늘의 외환분석] 주인공은 여전히 트럼프,https://news.einfomax.co.kr/news/articleView.html?idxno=4318161,https://news.einfomax.co.kr/news/articleView.html?idxno=4318161,"23일 달러-원 <b>환율</b>은 1,380원 중후반대에서 움직이며 제한적인 변동성을 나타낼 것으로 예상된다. 조 바이든 미국 대선 후보의 사퇴에 따른 여파를 가늠하는 장세가 이어질 것으로 보인다. 달러-원이 약간 아래쪽을 보일... ","Tue, 23 Jul 2024 10:04:00 +0900"
2,미국<b>환율</b> 환전 정보 7월 23일,https://www.bntnews.co.kr/article/view/bnt202407230019,https://www.bntnews.co.kr/article/view/bnt202407230019,"오늘의 <b>환율</b>, 환전, 환전고시 미국<b>환율</b> 정보 조회 23일, 09시 54분 기준 환전고시, 오늘 <b>환율</b> 정보를 요약한다. 미국 USD 달러화는 매매기준율 1387.8원으로 현금으로 구매시 1412.08원 판매시 1363.52원이다 중국... ","Tue, 23 Jul 2024 10:02:00 +0900"
3,"코스피, 美 기술주 반등에 닷새만에 상승…2,780대 회복(종합)",https://www.yna.co.kr/view/AKR20240723051100008?input=1195m,https://n.news.naver.com/mnews/article/001/0014822815?sid=101,"달러 대비 원화 <b>환율</b>은 서울 외환시장에서 전날보다 0.8원 오른 1,389.0원에 거래를 시작했다. 간밤 뉴욕증시는 기술주 중심으로 저가 매수세가 유입되며 일제히 반등했다. 다우존스30산업평균지수가 전장보다... ","Tue, 23 Jul 2024 10:02:00 +0900"
4,"[오늘 금시세]오늘 금값 상승세↑… 원 달러 <b>환율</b> 1,387원",http://www.namdonews.com/news/articleView.html?idxno=781014,http://www.namdonews.com/news/articleView.html?idxno=781014,"하나은행의 오전 9시 52분(63회차) 고시 원/달러 <b>환율</b>(매매기준율)은 1,387.80원으로 나타났다. 일본 엔화는 100엔당 885.56원, 유로 1,510.97원, 중국 위안화 190.20원 등이다.","Tue, 23 Jul 2024 09:56:00 +0900"
5,딜링룸 24시…챙겨봐야 할 국제경제뉴스,https://news.einfomax.co.kr/news/articleView.html?idxno=4318157,https://news.einfomax.co.kr/news/articleView.html?idxno=4318157,"https://news.einfomax.co.kr/news/articleView.html?idxno=4318116 ▲달러-원, '바이든 사퇴' 파장 속 소폭 상승 마감…1,388.20원 - 달러-원 <b>환율</b>이 야간 거래에서 소폭 상승 마감했다. 23일(한국시간) 새벽 2시 달러-원 <b>환율</b>은 전장... ","Tue, 23 Jul 2024 09:56:00 +0900"
6,"<b>환율</b>, 위험선호 심리 강화에 소폭 하락...1386.6원",https://www.hellot.net/news/article.html?no=91858,https://www.hellot.net/news/article.html?no=91858,원/달러 <b>환율</b>은 23일 장 초반 소폭 하락하고 있다. 이날 서울 외환시장에서 미국 달러화 대비 원화 <b>환율</b>은 오전 9시10분 현재 전날 주간 거래 종가(오후 3시30분 기준)보다 1.6원 내린 1386.6원에 거래되는 중이다.... ,"Tue, 23 Jul 2024 09:52:00 +0900"
7,금시세(금값) 23일 0.269%↓,https://www.bntnews.co.kr/article/view/bnt202407230018,https://www.bntnews.co.kr/article/view/bnt202407230018,"이날 원달러 <b>환율</b>은 1387.60원이다.(매매기준율, 원/달러 <b>환율</b>) 한국거래소(KRX) 금시장 국내 금값, 국제 금값 bnt, 한국거래소 금시세(금값) 한국거래소(KRX) 금시장 현재 국내 기준 106,990원에 거래되고 있으며, 이전 거래일... ","Tue, 23 Jul 2024 09:52:00 +0900"
8,"한국투자 “원/달러 상단 1390원 초중반 예상, 원화 추가 약세 가능성 제한적...",https://www.businesspost.co.kr/BP?command=article_view&num=359781,https://www.businesspost.co.kr/BP?command=article_view&num=359781,원/달러 <b>환율</b>이 당분간 1390원대에서 움직일 것이라는 전망이 나왔다. 문다운 한국투자증권 연구원은 23일... 실제 지난주 트럼프 전 대통령이 엔화와 위안화 약세 흐름에 부정적 의견을 피력하자 엔/달러 <b>환율</b>이 단숨에... ,"Tue, 23 Jul 2024 09:52:00 +0900"
9,"KB국민은행, KB스타뱅킹 인도네시아어 서비스 시행",http://www.issuenbiz.com/news/articleView.html?idxno=46605,http://www.issuenbiz.com/news/articleView.html?idxno=46605,"이번 서비스 시행을 통해 △계좌 및 거래내역 조회 △<b>환율</b> 조회 △거래외국환은행 지정 신청 △해외송금 메뉴가 인도네시아어로 제공되며, 영업점 방문 없이 365일 24시간 모바일로 간편하게 해외송금 거래가 가능하다.... ","Tue, 23 Jul 2024 09:48:00 +0900"
0,"KB국민은행, KB스타뱅킹 인도네시아어 서비스 시행",http://www.issuenbiz.com/news/articleView.html?idxno=46605,http://www.issuenbiz.com/news/articleView.html?idxno=46605,"이번 서비스 시행을 통해 △계좌 및 거래내역 조회 △<b>환율</b> 조회 △거래외국환은행 지정 신청 △해외송금 메뉴가 인도네시아어로 제공되며, 영업점 방문 없이 365일 24시간 모바일로 간편하게 해외송금 거래가 가능하다.... ","Tue, 23 Jul 2024 09:48:00 +0900"
1,"제약사들, 2분기 실적전망 보니…&quot;덩치 커졌지만 실속은&quot;",https://www.widedaily.com/news/articleView.html?idxno=240349,https://www.widedaily.com/news/articleView.html?idxno=240349,"의료공백, 경기 침체, 고<b>환율</b> 등 다양한 대외환경의 변수 속에서 기업들 간 성적도 엇갈리게 전망됐다.... 대형 계약 수주와 기존 계약의 증액, 수출비중이 높은 사업 모델의 <b>환율</b> 효과 영향이다. 현재 기업들의... ","Tue, 23 Jul 2024 09:46:00 +0900"
