증권종류,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
유가증권,  산일전기 ,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,박동석,http://www.sanil.co.kr,경기도
유가증권,  에이치에스효성 ,487570,기타 금융업,지주사업,2024-07-29,12월,조현상..,http://www.hshyosung.com,서울특별시
"코스닥, 투자주의종목",  엔에이치스팩31호  ,481890,금융 지원 서비스업,금융지원서비스업,2024-07-26,12월,이시형,,서울특별시
코스닥,  SK증권제13호스팩 ,473950,금융 지원 서비스업,기업인수목적 주식회사,2024-07-25,12월,임율표,,서울특별시
코스닥,  엑셀세라퓨틱스 ,373110,기초 의약물질 제조업,CellCor SFD/CD(세포배양배지),2024-07-15,12월,이의일,,서울특별시
코스닥,  이베스트스팩6호 ,478110,금융 지원 서비스업,기업인수목적 주식회사,2024-07-12,12월,박용,,서울특별시
유가증권,  시프트업 ,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
코스닥,  하스 ,450330,의료용품 및 기타 의약 관련제품 제조업,"리튬디실리케이트 수복소재(Amber block, Amber Ingot 등), 지르코니아 유치관",2024-07-03,12월,김용수,http://www.hassbio.com,강원특별자치도
코스닥,  이노스페이스 ,462350,"항공기,우주선 및 부품 제조업","소형발사체, 로켓추진기관, 과학로켓, 시험평가용역",2024-07-02,12월,김수종,http://www.innospc.com/,세종특별자치시
유가증권,  신한글로벌액티브리츠 ,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,김선영,http://shglobalreit.com,서울특별시
코스닥,  에이치브이엠 ,295310,1차 비철금속 제조업,"Ni계 합금, Fe계 합금, 스퍼터링타겟, Cu계 합금 등",2024-06-28,12월,문승호,http://hvm.co.kr/,경기도
코넥스,  팡스카이 ,266350,소프트웨어 개발 및 공급업,게임 개발 및 리퍼블리싱,2024-06-28,12월,조호현..,http://www.panggame.com/,서울특별시
코스닥,  하이젠알앤엠 ,160190,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전동기 및 발전기 (범용모터, 서보모터)",2024-06-27,12월,김재학,http://higenrnm.com,경상남도
코스닥,  한국제15호스팩 ,479880,금융 지원 서비스업,기업인수합병,2024-06-26,12월,유한,,서울특별시
코스닥,  에스오에스랩 ,464080,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",산업용 및 차량용 라이다(LiDAR),2024-06-25,12월,정지성,http://soslab.co,광주광역시
코스닥,  미래에셋비전스팩6호 ,478440,금융 지원 서비스업,기업인수합병,2024-06-24,12월,정명훈,,서울특별시
코스닥,  에이치엠씨제7호스팩 ,477340,금융 지원 서비스업,기타금융,2024-06-24,12월,강신명,,서울특별시
"유가증권, KRX300",  파라다이스  ,034230,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트",2024-06-24,12월,최종환..,http://www.paradise.co.kr/ko/main,서울특별시
코스닥,  한중엔시에스 ,107640,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","수냉식 냉각시스템 ESS Parts, 공랭식 ESS Module Parts, EV Module 및 내연기관 Parts",2024-06-24,12월,김환식,http://www.hjncs.com,경상북도
코스닥,  KB제29호스팩 ,478390,금융 지원 서비스업,기업인수합병,2024-06-21,12월,서영화,,서울특별시
코스닥,  미래에셋비전스팩5호 ,477470,금융 지원 서비스업,기업인수합병,2024-06-19,12월,김대호,,서울특별시
코스닥,  씨어스테크놀로지 ,458870,의료용 기기 제조업,심전도검사솔루션 입원환자모니터링솔루션,2024-06-19,12월,이영신,http://seerstech.com,경기도
코스닥,  한국제14호스팩 ,477530,금융 지원 서비스업,기업인수합병,2024-06-19,12월,변성환,,서울특별시
코스닥,  디비금융스팩12호 ,477760,기타 금융업,기업인수 및 합병,2024-06-18,12월,김창희,,서울특별시
코스닥,  라메디텍 ,462510,의료용 기기 제조업,초소형 레이저 의료기기  및 미용기기,2024-06-17,12월,최종석,,서울특별시
코스닥,  그리드위즈 ,453450,"그외 기타 전문, 과학 및 기술 서비스업","수요관리 서비스, 전기차 충전기 모뎀 등",2024-06-14,12월,김구환,http://www.gridwiz.com,경기도
코스닥,  다원넥스뷰 ,323350,사진장비 및 광학기기 제조업,LSMB(Laser Micro Bonding System),2024-06-11,12월,남기중,http://www.nexview.co.kr,경기도
코스닥,  미래에셋비전스팩4호 ,477380,금융 지원 서비스업,기업인수목적회사(기타금융서비스),2024-05-29,12월,김정수,,서울특별시
코스닥,  노브랜드 ,145170,편조의복 제조업,"Knit, Woven 의류",2024-05-23,12월,이상규,http://www.nobland.com,서울특별시
코스닥,  KB제28호스팩 ,476470,금융 지원 서비스업,기업인수합병,2024-05-17,12월,고광범,,서울특별시
코스닥,  아이씨티케이 ,456010,반도체 제조업,"PUF반도체,보안솔루션(보안반도체,정보통신모듈기기,정보통신용반도체) 제조,개발",2024-05-17,12월,이정원,http://www.ictk.com,서울특별시
유가증권,  HD현대마린솔루션 ,443060,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",2024-05-08,12월,이기동,http://www.hd-marinesolution.com/,부산광역시
코스닥,  SK증권제12호스팩 ,473000,금융 지원 서비스업,기업인수목적 주식회사,2024-05-07,12월,이재혁,,서울특별시
코스닥,  코칩 ,126730,전자부품 제조업,소형 및 초소형 슈퍼커패시터,2024-05-07,12월,손진형,http://www.korchip.com,경기도
코스닥,  민테크 ,452200,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","배터리 진단시스템, 배터리 시스템, 충방전 검사장비",2024-05-03,12월,홍영진,http://www.g-mintech.co.kr,대전광역시
코스닥,  카티스 ,140430,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",산업인프라 보안플랫폼,2024-05-03,12월,김승수,http://CATIS.CO.KR,경기도
코스닥,  디앤디파마텍 ,347850,자연과학 및 공학 연구개발업,대사성질환 치료제 등,2024-05-02,12월,이슬기,http://www.ddpharmatech.com,경기도
코스닥,  유안타제16호스팩 ,474490,금융 지원 서비스업,금융 지원 서비스(기업인수목적회사),2024-05-02,12월,박병권,,서울특별시
코스닥,  제일엠앤에스 ,412540,특수 목적용 기계 제조업,2차전지 믹싱시스템,2024-04-30,12월,이영진,http://www.jeilm.co.kr,경기도
코스닥,  삐아 ,451250,기타 화학제품 제조업,색조화장품,2024-04-25,12월,박광춘,http://www.bbiacosmetic.com/,인천광역시
코스닥,  하나33호스팩 ,475250,금융 지원 서비스업,기업인수합병,2024-04-24,12월,박태한,,서울특별시
코스닥,  신한제13호스팩 ,474930,금융 지원 서비스업,기타금융서비스(기업합병),2024-04-22,12월,배성환,,서울특별시
코스닥,  신한제12호스팩 ,474660,금융 지원 서비스업,금융서비스(기업인수목적회사),2024-04-15,12월,이동호,,서울특별시
"코스닥, 투자주의종목",  아이엠비디엑스  ,461030,자연과학 및 공학 연구개발업,"알파리퀴드ⓡ 100, 알파리퀴드ⓡ HRR, 알파리퀴드ⓡ 디텍트, 알파리퀴드ⓡ 스크리닝",2024-04-03,12월,김태유,http://www.imbdx.com/,서울특별시
유가증권,  SK이터닉스 ,475150,건물 건설업,부동산 개발,2024-03-29,12월,김해중,http://www.sketernix.com,경기도
코스닥,  하나32호스팩 ,475240,금융 지원 서비스업,기업인수합병,2024-03-27,12월,박종찬,,서울특별시
코스닥,  엔젤로보틱스 ,455900,특수 목적용 기계 제조업,"재활 전문 웨어러블 로봇, 근력 보조 무동력 웨어러블 슈트, 일상생활 보조 웨어러블 로봇 등",2024-03-26,12월,공경철,http://www.angel-robotics.com/ko/,서울특별시
코스닥,  제이투케이바이오 ,420570,기타 화학제품 제조업,화장품 원료(천연소재 바이오소재 등),2024-03-25,12월,이재섭,http://www.j2kbio.com,충청북도
코스닥,  삼현 ,437730,자동차 신품 부품 제조업,"스마트 액추에이터, 스마트 파워유닛",2024-03-21,12월,황성호,http://www.samhyun.co.kr,경상남도
코스닥,  오상헬스케어 ,036220,의료용품 및 기타 의약 관련제품 제조업,"생화학 측정기 및 센서, 면역진단기기 및 마커, 분자진단기기 및 시약 등",2024-03-13,12월,강철훈,http://www.osanghc.com,경기도
코스닥,  케이엔알시스템 ,199430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","특수목적 시험장비, 산업용로봇",2024-03-07,12월,김명한,http://www.knrsys.com,경기도
코스닥,  비엔케이제2호스팩 ,473370,금융 지원 서비스업,금융 지원 서비스업,2024-03-05,12월,정민중,http://bnkspac2.com,서울특별시
코스닥,  하나31호스팩 ,469900,금융 지원 서비스업,기업인수합병,2024-03-05,12월,한규정,,서울특별시
코스닥,  SK증권제11호스팩 ,472230,금융 지원 서비스업,기업인수목적 주식회사,2024-03-04,12월,최상우,,서울특별시
코스닥,  유안타제15호스팩 ,473050,금융 지원 서비스업,금융 지원 서비스,2024-02-29,12월,구태훈,,서울특별시
코스닥,  유진스팩10호 ,468760,금융 지원 서비스업,기업인수합병,2024-02-29,12월,김동진,,서울특별시
유가증권,  에이피알 ,278470,기타 화학제품 제조업,"화장품, 피부미용기기 등",2024-02-27,12월,김병훈,http://apr-in.com,서울특별시
코스닥,  이에이트 ,418620,소프트웨어 개발 및 공급업,"CFD 시뮬레이션 소프트웨어, 디지털트윈 플랫폼",2024-02-23,12월,김진현,http://e8ight.co.kr/,서울특별시
코스닥,  코셈 ,360350,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",주사전자현미경(SEM),2024-02-23,12월,이준희,http://www.coxem.com,대전광역시
코스닥,  케이웨더 ,068100,일반 목적용 기계 제조업,"공기개선솔루션, 기상데이터, 공기측정솔루션 등",2024-02-22,12월,김동식,http://www.kweather.co.kr,서울특별시
